File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
109.csv;0.2513;0.00916;0.0023019;0.4207;0.01234;44.341;2.5577
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
110.csv;0.3011;0.01028;0.0030953;0.4763;0.014907;43.5936;3.4392
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
111.csv;0.301;0.0116;0.0034916;0.4914;0.01632;43.5375;3.8796
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
112.csv;0.3007;0.01214;0.0036505;0.49327;0.01721;43.0027;4.0561
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
113.csv;0.301;0.01226;0.0036903;0.49254;0.017165;43.6476;4.1003
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
114.csv;0.3007;0.01246;0.0037467;0.49148;0.017402;43.8068;4.163
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
115.csv;0.3008;0.01232;0.0037059;0.49205;0.0173;43.534;4.1176
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
116.csv;0.301;0.0126;0.0037926;0.49554;0.017199;44.5001;4.214
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
117.csv;0.3013;0.0133;0.0040073;0.5017;0.018003;44.3678;4.4525
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
118.csv;0.3013;0.01416;0.0042664;0.51474;0.017824;46.5012;4.7405
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
119.csv;0.3514;0.0119;0.0041817;0.51201;0.015122;54.009;4.6463
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
120.csv;0.3507;0.00955;0.0033492;0.47926;0.013609;51.3485;3.7213
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
121.csv;0.2007;0.00484;0.00097139;0.2991;0.00883;36.7804;1.0793
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
122.csv;0.201;0.00688;0.0013829;0.33961;0.010424;39.062;1.5365
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
123.csv;0.301;0.0079;0.0023779;0.44727;0.012542;42.3881;2.6421
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
124.csv;0.301;0.0118;0.0035518;0.49585;0.015599;45.9181;3.9464
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
125.csv;0.3008;0.01192;0.0035855;0.50824;0.016599;42.5027;3.9839
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
126.csv;0.301;0.01206;0.0036301;0.50398;0.017277;41.6895;4.0334
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
127.csv;0.3012;0.01204;0.0036264;0.50086;0.017243;41.9912;4.0294
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
128.csv;0.3007;0.01222;0.0036746;0.49979;0.017388;42.2839;4.0828
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
129.csv;0.3007;0.01234;0.0037106;0.50017;0.017224;43.0724;4.1229
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
130.csv;0.3015;0.01084;0.0032683;0.50611;0.016004;40.3506;3.6314
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
131.csv;0.3013;0.01406;0.0042363;0.51041;0.018198;45.6087;4.707
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
132.csv;0.3513;0.01312;0.0046091;0.51303;0.017884;50.2356;5.1212
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
133.csv;0.3508;0.01192;0.0041815;0.51719;0.015183;53.2505;4.6462
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
134.csv;0.3509;0.00896;0.0031441;0.48238;0.012483;52.2149;3.4934
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
135.csv;0.2009;0.00476;0.00095628;0.29593;0.0088538;36.4984;1.0625
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
136.csv;0.2012;0.00746;0.001501;0.36032;0.010817;38.5093;1.6677
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
137.csv;0.3012;0.00778;0.0023433;0.4368;0.0125;42.9171;2.6037
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
138.csv;0.351;0.01076;0.0037768;0.50486;0.015718;47.5931;4.1964
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
139.csv;0.3513;0.01152;0.004047;0.52442;0.017345;44.4911;4.4966
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
140.csv;0.301;0.01304;0.003925;0.51776;0.017886;42.3844;4.3612
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
141.csv;0.301;0.01312;0.0039491;0.51208;0.017778;43.3788;4.3879
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
142.csv;0.301;0.01336;0.0040214;0.5097;0.017946;43.9634;4.4682
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
143.csv;0.3008;0.01366;0.0041089;0.51416;0.017965;44.4839;4.5655
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
144.csv;0.3513;0.0122;0.0042859;0.51971;0.018252;45.182;4.7621
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
145.csv;0.351;0.01288;0.0045209;0.51382;0.018741;46.9474;5.0232
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
146.csv;0.3511;0.01394;0.0048943;0.51995;0.018002;52.2873;5.4381
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
147.csv;0.3511;0.01194;0.0041921;0.51485;0.015042;54.1304;4.6579
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
148.csv;0.3011;0.0103;0.0031013;0.47819;0.012529;51.7642;3.4459
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
149.csv;0.201;0.00466;0.00093666;0.29627;0.0083552;37.8387;1.0407
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
150.csv;0.2009;0.00776;0.001559;0.3563;0.010923;40.057;1.7322
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
151.csv;0.3008;0.00788;0.0023703;0.43588;0.012311;44.1717;2.6337
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
152.csv;0.3015;0.0111;0.0033467;0.49237;0.014425;47.1195;3.7185
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
153.csv;0.3509;0.01266;0.0044424;0.52892;0.016869;49.7903;4.936
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
154.csv;0.3509;0.0134;0.0047021;0.53246;0.018297;48.2629;5.2245
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
155.csv;0.351;0.01278;0.0044858;0.52831;0.018278;46.4544;4.9842
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
156.csv;0.3512;0.01298;0.0045586;0.52667;0.018624;46.4746;5.0651
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
157.csv;0.3512;0.01314;0.0046148;0.52725;0.018617;47.0132;5.1275
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
158.csv;0.3511;0.0135;0.0047399;0.52951;0.01867;47.9445;5.2665
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
159.csv;0.3511;0.01376;0.0048311;0.52267;0.018584;49.7383;5.3679
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
160.csv;0.3513;0.01342;0.0047144;0.51691;0.0172;53.0266;5.2383
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
161.csv;0.3513;0.0112;0.0039346;0.51082;0.014509;53.0862;4.3717
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
162.csv;0.3016;0.00788;0.0023766;0.47904;0.012181;40.7299;2.6407
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
163.csv;0.2008;0.00694;0.0013936;0.33231;0.010386;40.379;1.5484
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
164.csv;0.2508;0.00844;0.0021168;0.40534;0.012;43.5173;2.3519
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
165.csv;0.301;0.01068;0.0032147;0.48505;0.014018;47.2773;3.5719
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
166.csv;0.3512;0.01152;0.0040458;0.51924;0.01535;50.7608;4.4954
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
167.csv;0.3509;0.00904;0.0031721;0.53442;0.014733;40.2879;3.5246
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
168.csv;0.351;0.0138;0.0048438;0.53441;0.018215;49.759;5.382
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
169.csv;0.3513;0.01368;0.0048058;0.53431;0.018537;48.52;5.3398
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
170.csv;0.351;0.01378;0.0048368;0.53266;0.018558;48.9302;5.3742
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
171.csv;0.3511;0.01362;0.004782;0.53011;0.018243;49.4462;5.3133
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
172.csv;0.351;0.01298;0.004556;0.517;0.01751;50.3271;5.0622
